Cluster 0 (n=34,785): plant, arabidopsi, soil, root, rice, seed, leaf, maiz, mutant, thaliana, flower, leav, transgen, tomato, crop
Cluster 1 (n=69,221): strain, coli, escherichia, bacteri, bacteria, antibiot, aureu, pathogen, salmonella, mutant, staphylococcu, virul, biofilm, antimicrobi, plasmid
Cluster 2 (n=164,311): rna, phosphoryl, apoptosi, mrna, mutant, p53, nuclear, stem, drosophila, subunit, mitochondri, endotheli, yeast, actin, replic
Cluster 3 (n=31,461): insulin, glucos, diabet, obes, igf, islet, fat, adipos, secret, hormon, leptin, adipocyt, pancreat, diet, fast
Cluster 4 (n=78,318): nanoparticl, polym, electron, film, water, particl, metal, solut, carbon, ion, energi, optic, nanotub, spectroscopi, assembl
Cluster 5 (n=102,835): commun, educ, social, servic, alcohol, practic, student, adolesc, school, person, self, parent, mental, physic, problem
Cluster 6 (n=186,972): dog, skin, hormon, diet, thyroid, vitamin, pig, calcium, milk, cow, platelet, fed, food, dietari, rabbit
Cluster 7 (n=72,046): bond, residu, conform, crystal, substrat, ligand, nmr, catalyz, hydrogen, catalyt, substitut, ring, kinet, stabil, ion
Cluster 8 (n=39,647): infant, pregnanc, fetal, matern, birth, gestat, neonat, preterm, women, mother, prenat, newborn, deliveri, pregnant, prematur
Cluster 9 (n=29,530): breast, women, estrogen, node, chemotherapi, metastat, brca1, invas, her2, biopsi, mammographi, malign, mammari, lymph, mastectomi
Cluster 10 (n=109,067): aneurysm, resect, abdomin, endoscop, gastric, laparoscop, pancreat, esophag, trauma, stent, vein, carotid, ulcer, malign, colon
Cluster 11 (n=36,847): hiv, immunodefici, aid, cd4, antiretrovir, viral, women, sexual, men, transmiss, sex, replic, vaccin, person, rna
Cluster 12 (n=51,978): neuron, synapt, axon, hippocamp, channel, cortex, spinal, glutam, nucleu, synaps, cortic, nerv, motor, gaba, neural
Cluster 13 (n=62,073): leukemia, lymphoma, chemotherapi, radiat, malign, marrow, irradi, radiotherapi, advanc, hodgkin, toxic, metastat, transplant, lymphocyt, myeloid
Cluster 14 (n=58,651): algorithm, comput, network, simul, chromatographi, spectrometri, dynam, liquid, field, extract, accuraci, optim, valid, dimension, paper
Cluster 15 (n=69,827): coronari, ventricular, cardiac, myocardi, left, infarct, valv, atrial, aortic, pulmonari, mitral, right, echocardiographi, bypass, stent
Cluster 16 (n=52,043): fractur, knee, joint, hip, tendon, fixat, ligament, femor, arthroplasti, anterior, radiograph, pain, implant, screw, reconstruct
Cluster 17 (n=10,164): sleep, apnea, osa, wake, rem, obstruct, insomnia, night, breath, sleepi, depress, airway, daytim, depriv, disturb
Cluster 18 (n=67,885): visual, eye, retin, task, memori, hear, cognit, auditori, speech, learn, corneal, cortex, ocular, languag, glaucoma
Cluster 19 (n=75,142): ifn, lymphocyt, macrophag, cytokin, cd4, tnf, cd8, inflammatori, interleukin, neutrophil, lp, monocyt, inflamm, interferon, gamma
Cluster 20 (n=39,587): antagonist, potent, pharmacokinet, agonist, oral, discoveri, pharmacolog, analogu, affin, substitut, methyl, ligand, dopamin, bioavail, metabolit
Cluster 21 (n=30,935): chromosom, map, delet, linkag, locu, loci, allel, hybrid, polymorph, cytogenet, snp, transloc, clone, duplic, variant
Cluster 22 (n=19,941): cholesterol, lipid, lipoprotein, ldl, hdl, densiti, apolipoprotein, apo, triglycerid, fatti, diet, atherosclerosi, fat, phospholipid, dietari
Cluster 23 (n=158,270): pain, pulmonari, exercis, stroke, asthma, respiratori, hepat, cerebr, hypertens, depress, seizur, oxygen, alcohol, airway, nerv
Cluster 24 (n=25,678): vaccin, influenza, virus, strain, immunogen, h1n1, viral, measl, challeng, pandem, outbreak, hepat, recombin, titer, epitop
Cluster 25 (n=20,105): prostat, androgen, psa, men, prostatectomi, bladder, biopsi, radic, metastat, lncap, benign, renal, urinari, gleason, radiat
Cluster 26 (n=49,324): transplant, renal, kidney, recipi, donor, graft, reject, allograft, hypertens, dialysi, marrow, hepat, immunosuppress, cyclosporin, glomerular
Cluster 27 (n=55,340): water, fish, climat, parasit, mosquito, habitat, forest, sediment, ecolog, host, lake, divers, river, marin, environment
Cluster 28 (n=25,802): diabet, mellitu, insulin, glucos, retinopathi, obes, hypertens, islet, educ, renal, cardiovascular, glycem, women, nephropathi, neuropathi
Cluster 29 (n=33,082): women, men, sexual, pregnanc, contracept, american, obes, postmenopaus, cervic, older, breast, sex, physic, hormon, exercis
