=== Pulling grants from PubMed ===
Total batches: 136824
Already done:  80
Workers:       10
Started:       Tue Jun  9 18:10:06 EDT 2026
  progress: 1011 / 136824 at 18:12:06
  progress: 1950 / 136824 at 18:14:06
  progress: 2909 / 136824 at 18:16:06
  progress: 3863 / 136824 at 18:18:06
  progress: 4817 / 136824 at 18:20:07
  progress: 5770 / 136824 at 18:22:07
  progress: 6710 / 136824 at 18:24:07
  progress: 7640 / 136824 at 18:26:07
  progress: 8620 / 136824 at 18:28:08
  progress: 9549 / 136824 at 18:30:08
  progress: 10517 / 136824 at 18:32:08
  progress: 11466 / 136824 at 18:34:08
  progress: 12423 / 136824 at 18:36:09
  progress: 13391 / 136824 at 18:38:09
  progress: 14337 / 136824 at 18:40:10
  progress: 15303 / 136824 at 18:42:10
  progress: 16236 / 136824 at 18:44:11
  progress: 17205 / 136824 at 18:46:12
  progress: 18157 / 136824 at 18:48:12
  progress: 19131 / 136824 at 18:50:13
  progress: 20099 / 136824 at 18:52:13
  progress: 21064 / 136824 at 18:54:14
  progress: 22011 / 136824 at 18:56:14
  progress: 22991 / 136824 at 18:58:15
  progress: 23943 / 136824 at 19:00:16
  progress: 24918 / 136824 at 19:02:17
  progress: 25892 / 136824 at 19:04:17
  progress: 26880 / 136824 at 19:06:18
  progress: 27841 / 136824 at 19:08:19
  progress: 28821 / 136824 at 19:10:20
  progress: 29814 / 136824 at 19:12:21
  progress: 30813 / 136824 at 19:14:22
  progress: 31786 / 136824 at 19:16:23
  progress: 32721 / 136824 at 19:18:24
  progress: 33690 / 136824 at 19:20:25
  progress: 34673 / 136824 at 19:22:26
  progress: 35636 / 136824 at 19:24:27
  progress: 36610 / 136824 at 19:26:29
  progress: 37575 / 136824 at 19:28:30
  progress: 38520 / 136824 at 19:30:31
  progress: 39483 / 136824 at 19:32:32
  progress: 40451 / 136824 at 19:34:34
  progress: 41434 / 136824 at 19:36:35
  progress: 42392 / 136824 at 19:38:36
  progress: 43326 / 136824 at 19:40:37
  progress: 44294 / 136824 at 19:42:39
  progress: 45247 / 136824 at 19:44:40
  progress: 46222 / 136824 at 19:46:41
  progress: 47158 / 136824 at 19:48:43
  progress: 48149 / 136824 at 19:50:44
  progress: 49096 / 136824 at 19:52:46
  progress: 50067 / 136824 at 19:54:47
  progress: 51038 / 136824 at 19:56:49
  progress: 52049 / 136824 at 19:58:50
  progress: 53045 / 136824 at 20:00:52
  progress: 54056 / 136824 at 20:02:54
  progress: 55078 / 136824 at 20:04:55
  progress: 56078 / 136824 at 20:06:57
  progress: 57073 / 136824 at 20:08:58
  progress: 58055 / 136824 at 20:11:00
  progress: 59046 / 136824 at 20:13:02
  progress: 60027 / 136824 at 20:15:04
  progress: 61016 / 136824 at 20:17:06
  progress: 61950 / 136824 at 20:19:08
  progress: 62909 / 136824 at 20:21:10
  progress: 63879 / 136824 at 20:23:12
  progress: 64805 / 136824 at 20:25:13
  progress: 65752 / 136824 at 20:27:15
  progress: 66717 / 136824 at 20:29:18
  progress: 67702 / 136824 at 20:31:20
  progress: 68662 / 136824 at 20:33:22
  progress: 69602 / 136824 at 20:35:24
  progress: 70560 / 136824 at 20:37:26
  progress: 71513 / 136824 at 20:39:28
  progress: 72494 / 136824 at 20:41:30
  progress: 73465 / 136824 at 20:43:32
  progress: 74438 / 136824 at 20:45:35
  progress: 75366 / 136824 at 20:47:37
  progress: 76313 / 136824 at 20:49:40
  progress: 77274 / 136824 at 20:51:42
  progress: 78230 / 136824 at 20:53:44
  progress: 79220 / 136824 at 20:55:47
  progress: 80167 / 136824 at 20:57:49
  progress: 81120 / 136824 at 20:59:51
  progress: 82028 / 136824 at 21:01:54
  progress: 82906 / 136824 at 21:03:56
  progress: 83878 / 136824 at 21:05:58
  progress: 84825 / 136824 at 21:08:01
  progress: 85764 / 136824 at 21:10:03
  progress: 86720 / 136824 at 21:12:06
  progress: 87687 / 136824 at 21:14:08
  progress: 88650 / 136824 at 21:16:11
  progress: 89595 / 136824 at 21:18:13
  progress: 90524 / 136824 at 21:20:16
  progress: 91434 / 136824 at 21:22:18
  progress: 92393 / 136824 at 21:24:21
  progress: 93311 / 136824 at 21:26:24
  progress: 94234 / 136824 at 21:28:26
  progress: 95171 / 136824 at 21:30:29
  progress: 96112 / 136824 at 21:32:32
  progress: 97044 / 136824 at 21:34:35
  progress: 97967 / 136824 at 21:36:37
  progress: 98781 / 136824 at 21:38:40
  progress: 99721 / 136824 at 21:40:44
  progress: 100626 / 136824 at 21:42:46
  progress: 101553 / 136824 at 21:44:49
  progress: 102401 / 136824 at 21:46:52
  progress: 103259 / 136824 at 21:48:54
  progress: 104177 / 136824 at 21:50:57
  progress: 105101 / 136824 at 21:53:01
  progress: 106031 / 136824 at 21:55:03
  progress: 106958 / 136824 at 21:57:07
  progress: 107866 / 136824 at 21:59:10
  progress: 108768 / 136824 at 22:01:13
  progress: 109671 / 136824 at 22:03:16
  progress: 110562 / 136824 at 22:05:20
  progress: 111424 / 136824 at 22:07:23
  progress: 112223 / 136824 at 22:09:26
  progress: 113075 / 136824 at 22:11:30
  progress: 113974 / 136824 at 22:13:33
  progress: 114925 / 136824 at 22:15:37
  progress: 115828 / 136824 at 22:17:40
  progress: 116709 / 136824 at 22:19:44
  progress: 117548 / 136824 at 22:21:47
  progress: 118343 / 136824 at 22:23:51
  progress: 119166 / 136824 at 22:25:55
  progress: 119983 / 136824 at 22:27:58
  progress: 120841 / 136824 at 22:30:01
  progress: 121664 / 136824 at 22:32:05
  progress: 122508 / 136824 at 22:34:08
  progress: 123327 / 136824 at 22:36:12
  progress: 124125 / 136824 at 22:38:15
  progress: 124946 / 136824 at 22:40:18
  progress: 125744 / 136824 at 22:42:22
  progress: 126554 / 136824 at 22:44:26
  progress: 127344 / 136824 at 22:46:29
  progress: 128169 / 136824 at 22:48:34
  progress: 128990 / 136824 at 22:50:37
  progress: 129804 / 136824 at 22:52:41
  progress: 130620 / 136824 at 22:54:45
  progress: 131427 / 136824 at 22:56:49
  progress: 132214 / 136824 at 22:58:53
  progress: 133010 / 136824 at 23:00:57
  progress: 133770 / 136824 at 23:03:01
  progress: 134543 / 136824 at 23:05:06
  progress: 135308 / 136824 at 23:07:09
  progress: 136051 / 136824 at 23:09:14
Finished: Tue Jun  9 23:10:44 EDT 2026
Total done: 136578 / 136824
